sample	Nonsynonymous	Synonymous
TCGA-E9-A1R6-01A-11D-A14G-09	27	7
TCGA-E9-A1R7-01A-11D-A14K-09	35	10
TCGA-E9-A1RA-01A-11D-A14G-09	14	11
TCGA-E9-A1RB-01A-11D-A17G-09	20	8
TCGA-E9-A1RC-01A-11D-A159-09	35	11
TCGA-E9-A1RD-01A-11D-A159-09	17	5
TCGA-E9-A1RE-01A-11D-A159-09	41	9
TCGA-E9-A1RF-01A-11D-A159-09	115	26
TCGA-E9-A1RG-01A-11D-A14G-09	34	7
TCGA-E9-A1RH-01A-21D-A167-09	76	21
TCGA-E9-A1RI-01A-11D-A167-09	8	8
TCGA-E9-A226-01A-21D-A159-09	47	16
TCGA-E9-A227-01A-11D-A159-09	13	3
TCGA-E9-A228-01A-31D-A159-09	35	9
TCGA-E9-A229-01A-31D-A17G-09	17	8
TCGA-E9-A22A-01A-11D-A159-09	25	6
TCGA-E9-A22B-01A-11D-A159-09	49	15
TCGA-E9-A22D-01A-11D-A159-09	17	7
TCGA-E9-A22E-01A-11D-A159-09	97	25
TCGA-E9-A22G-01A-11D-A159-09	77	27
TCGA-E9-A22H-01A-11D-A159-09	25	3
TCGA-E9-A243-01A-21D-A167-09	64	17
TCGA-E9-A244-01A-11D-A167-09	74	25
TCGA-E9-A245-01A-22D-A16D-09	25	4
TCGA-E9-A247-01A-11D-A167-09	41	7
TCGA-E9-A248-01A-11D-A167-09	23	2
TCGA-E9-A249-01A-11D-A167-09	15	8
TCGA-E9-A24A-01A-11D-A167-09	24	1
TCGA-E9-A295-01A-11D-A16D-09	67	16
TCGA-E9-A2JS-01A-11D-A17W-09	47	18
TCGA-E9-A2JT-01A-22D-A18P-09	19	3
TCGA-E9-A3HO-01A-11D-A20S-09	53	7
TCGA-E9-A3QA-01A-61D-A228-09	47	11
TCGA-E9-A3X8-01A-31D-A22X-09	25	7
TCGA-E9-A54Y-01A-11D-A25Q-09	30	10
TCGA-E9-A5FK-01A-11D-A27P-09	19	7
TCGA-E9-A5FL-01A-11D-A27P-09	76	16
TCGA-E9-A5UO-01A-11D-A28B-09	19	6
TCGA-E9-A6HE-01A-11D-A31U-09	17	3
TCGA-EW-A1IW-01A-11D-A13L-09	67	28
TCGA-EW-A1IZ-01A-11D-A188-09	299	95
TCGA-EW-A1J1-01A-11D-A188-09	17	9
TCGA-EW-A1J3-01A-11D-A13L-09	19	4
